group,cell,dataset,method,mechanism,cert_r2_at_rest,cert_r2_at_rest_source,cert_r2_attacked,cert_r2_attacked_source,tier1_max,tier1_source,fails_bar
existing,adult/sex,adult,noise σ=0.0,noise,0.034942350219597684,noise_channel_test.json:rows.baseline_linear_r2,0.10362235128290258,honest_reaudit.json:master.old_r2,0.6864483333483946,"honest_reaudit.json:master.max(xgb_auc,mlp_auc)",1
existing,adult/sex,adult,noise σ=0.25,noise,0.03424629960037798,noise_channel_test.json:rows.baseline_linear_r2,0.08679373104123116,honest_reaudit.json:master.old_r2,0.6748245458138835,"honest_reaudit.json:master.max(xgb_auc,mlp_auc)",1
existing,adult/sex,adult,noise σ=0.5,noise,0.03334182558193653,noise_channel_test.json:rows.baseline_linear_r2,0.06760507510877152,honest_reaudit.json:master.old_r2,0.6460940797244276,"honest_reaudit.json:master.max(xgb_auc,mlp_auc)",1
existing,adult/sex,adult,noise σ=1.0,noise,0.031348252774085233,noise_channel_test.json:rows.baseline_linear_r2,0.046498277435005175,honest_reaudit.json:master.old_r2,0.5988653254198634,"honest_reaudit.json:master.max(xgb_auc,mlp_auc)",1
existing,adult/sex,adult,noise σ=2.0,noise,0.026102732614599444,noise_channel_test.json:rows.baseline_linear_r2,0.03407683904947483,honest_reaudit.json:master.old_r2,0.5619793230308282,"honest_reaudit.json:master.max(xgb_auc,mlp_auc)",1
existing,adult/sex,adult,noise σ=4.0,noise,0.016417621216267237,noise_channel_test.json:rows.baseline_linear_r2,0.025632875760627487,honest_reaudit.json:master.old_r2,0.5464629359830271,"honest_reaudit.json:master.max(xgb_auc,mlp_auc)",0
existing,adult/sex,adult,noise σ=8.0,noise,0.008000065902960079,noise_channel_test.json:rows.baseline_linear_r2,0.009835344033815476,honest_reaudit.json:master.old_r2,0.5182041353268958,"honest_reaudit.json:master.max(xgb_auc,mlp_auc)",0
existing,adult/sex,adult,noise sigma=1.0,noise,0.031348252774085233,noise_channel_test.json:rows.baseline_linear_r2,0.046498277435005175,honest_reaudit.json:master.old_r2,0.5988653254198634,"honest_reaudit.json:master.max(xgb_auc,mlp_auc)",1
existing,adult/sex,adult,noise sigma=2.0,noise,0.026102732614599444,noise_channel_test.json:rows.baseline_linear_r2,0.03407683904947483,honest_reaudit.json:master.old_r2,0.5619793230308282,"honest_reaudit.json:master.max(xgb_auc,mlp_auc)",1
existing,adult/sex,adult,noise sigma=8.0,noise,0.008000065902960079,noise_channel_test.json:rows.baseline_linear_r2,0.009835344033815476,honest_reaudit.json:master.old_r2,0.5182041353268958,"honest_reaudit.json:master.max(xgb_auc,mlp_auc)",0
existing,adult/sex,adult,LEOPARD-MMD proj r=1,projection,,,0.035554092358041,honest_reaudit.json:master.old_r2,0.6816733170070323,"honest_reaudit.json:master.max(xgb_auc,mlp_auc)",1
existing,adult/sex,adult,LEOPARD-MMD proj r=2,projection,,,0.03606298785020764,honest_reaudit.json:master.old_r2,0.6809255093267091,"honest_reaudit.json:master.max(xgb_auc,mlp_auc)",1
existing,adult/sex,adult,LEOPARD-MMD proj r=4,projection,,,0.0358603263043058,honest_reaudit.json:master.old_r2,0.6811647935599804,"honest_reaudit.json:master.max(xgb_auc,mlp_auc)",1
existing,adult/sex,adult,LEOPARD-MMD proj r=8,projection,,,0.036008826399114104,honest_reaudit.json:master.old_r2,0.681069824557528,"honest_reaudit.json:master.max(xgb_auc,mlp_auc)",1
existing,adult/sex,adult,LEOPARD-MMD proj r=16,projection,,,0.035823300933753854,honest_reaudit.json:master.old_r2,0.6805168288419271,"honest_reaudit.json:master.max(xgb_auc,mlp_auc)",1
existing,adult/sex,adult,HSIC proj r=1,projection,,,0.035918474471056006,honest_reaudit.json:master.old_r2,0.6817388539860373,"honest_reaudit.json:master.max(xgb_auc,mlp_auc)",1
existing,adult/sex,adult,HSIC proj r=4,projection,,,0.036080297187518894,honest_reaudit.json:master.old_r2,0.6821287498531537,"honest_reaudit.json:master.max(xgb_auc,mlp_auc)",1
existing,adult/sex,adult,HSIC proj r=8,projection,,,0.03611843410748924,honest_reaudit.json:master.old_r2,0.6833293965125709,"honest_reaudit.json:master.max(xgb_auc,mlp_auc)",1
existing,adult/sex,adult,HSIC proj r=16,projection,,,0.03677960214511459,honest_reaudit.json:master.old_r2,0.6813720937393422,"honest_reaudit.json:master.max(xgb_auc,mlp_auc)",1
